,,,,,
#EJECUCIÓN GASTOS CORRIENTES EJERCICIO 2013,,,,,
,,,,,
,,,,,
,,,,,
#Aplicación Presupuestaria,Denominación,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
     433  45391,Aportación Convenio Cámara de Comercio,30000,-30000,0,0
,,,,,
     433  22614,Plan de Promoción Económica,151000,56460,207460,206232.11
,,,,,
     414  46600,Aportación Desarrollo Rural Chasna- Isora,15025,0,15025,0
,,,,,
     414  62507,Equipamiento Mercadillo Municipal del Agricultor,88500,-8801,79699,0
,,,,,
     414  22121,Suministro Mercadillo Municipal del Agricultor,5000,-5000,0,0
,,,,,
     011  91301,Amortización préstamos largo plazo entidades fin.,1011625,1480519.53,2492144.53,2492113.91
,,,,,
     011  31000,Intereses,620000,-68000,552000,228516.93
,,,,,
     241  14336,Arona Agrícola 2013,0,125545.89,125545.89,123170.18
,,,,,
     241  14332,Arona con Todos 2012,0,80596.17,80596.17,80588.78
,,,,,
     241  14334,Arona Empresarial 2012,0,31000.56,31000.56,21154.39
,,,,,
     241  14333,Arona Limpia 2012,0,97754.78,97754.78,75808.95
,,,,,
     241  20200,Arrendamientos de Edificios y otras Construcciones,18000,0,18000,13302.69
,,,,,
     241  22683,Auditoria-Arona con todos 2012,0,1028.48,1028.48,0
,,,,,
     241  22685,Auditoria Arona Empresarial 2012,0,578.11,578.11,578.11
,,,,,
     241  22684,Auditoria Arona Limpia 2012,0,1191.46,1191.46,1191.46
,,,,,
     241  22686,Auditoria Mejorando Nuestros Servicios 2012,0,594.13,594.13,594.13
,,,,,
     241  48014,"Convnio Fundación Proyecto D,. Bosco",8000,0,8000,0
,,,,,
     241  23020,Dietas del personal no directivo,1000,0,1000,577.5
,,,,,
     241  23120,Locomoción del personal no directivo,1000,0,1000,762.13
,,,,,
     241  22706,Estudios y Trabajos Técnicos,36000,0,36000,16494.2
,,,,,
     241  14303,Retribuciones personal convenios,500000,-50000,450000,13417.67
,,,,,
     241  16200,Formación y Perfeccionamiento del Personal,1000,0,1000,55
,,,,,
     241  62300,"Maquinaria, Instalaciones y Utillaje",1000,0,1000,0
,,,,,
     241  22612,Material Convenios Fomento Empleo,30000,0,30000,10429.06
,,,,,
     241  14335,Mejorando Nuestros Servicios 2012,0,43432.4,43432.4,35793.41
,,,,,
     241  60812,Mobiliario Urbano,0,54054.39,54054.39,0
,,,,,
     241  22000,Ordinario no inventariable,1000,0,1000,0
,,,,,
     241  13100,Retribuciones personal temporal,32000,0,32000,31581.64
,,,,,
     241  14337,Programa Extraordinario empleo social Arona 2013,0,249699.25,249699.25,390671.12
,,,,,
     241  14302,Retribuciones convenios AEDL,74500,0,74500,50915.76
,,,,,
     241  13000,Retribuciones personal laboral fijo,70000,-5000,65000,70838.15
,,,,,
     241  22606,"Reuniones, Conferencias y Cursos",30000,5000,35000,22679.21
,,,,,
     241  16000,Seguridad Social,64500,0,64500,49814.51
,,,,,
     933  16200,Formación y Perfeccionamiento del Personal,600,0,600,0
,,,,,
     933  13000,Retribuciones personal laboral fijo,20000,0,20000,16691.69
,,,,,
     933  16000,Seguridad Social,5000,0,5000,10258.87
,,,,,
     312  20200,Arrendamientos de Edificios y otras Construcciones,21000,0,21000,20706.4
,,,,,
     312  22100,Energía eléctrica,53000,0,53000,48445.33
,,,,,
     929  20800,Arrendamientos de Otro Inmovilizado Material,1000,4200,5200,4110.94
,,,,,
     929  22103,Combustibles y carburantes,1000,0,1000,0
,,,,,
     929  21400,Repar. mant. y cons. elementos de transporte,1000,0,1000,0
,,,,,
     929  50000,Fondo de Contingencia,1619393,-65691.36,1553701.64,0
,,,,,
     929  21300,"Reparaciones, Mante. y conserv. Maquinaria e Inst.",10000,0,10000,454.75
,,,,,
     929  62500,Mobiliario,5000,0,5000,0
,,,,,
     929  22000,Ordinario no inventariable,2000,0,2000,0
,,,,,
     929  48102,Premios,2000,0,2000,290.65
,,,,,
     929  22402,Primas de seguros resto,1000,0,1000,0
,,,,,
     929  21500,Repar. mant. y cons. Mobiliario,5000,0,5000,0
,,,,,
     929  22606,"Reuniones, conferencias y cursos",2000,0,2000,64.2
,,,,,
     929  22619,Sanciones,30000,0,30000,13393.04
,,,,,
     929  22702,Valoraciones y Peritajes,1000,0,1000,0
,,,,,
     342  62250,Adecuación Reglamentación B.T. Campo Tiro de Arona,0,2412.74,2412.74,0
,,,,,
     342  62207,Cámaras de seguridad Edificios Públicos,0,6304.26,6304.26,0
,,,,,
     342  62251,Campo de Fútbol 7 Cabo Blanco,0,0,0,0
,,,,,
     342  62226,Complejo Deportivo,0,1003285.71,1003285.71,0
,,,,,
     342  62203,Cubierta Piscina Polivalente de Los Cristianos,0,76277.36,76277.36,74273.94
,,,,,
     342  62252,Equipamiento Campo de Fútbol El Almendro,0,0,0,0
,,,,,
     342  62254,Plataformas Piscina Municipal Los Cristianos,0,0,0,0
,,,,,
     342  22713,Servicio de mantenimiento de vías y edificios,359780,0,359780,275064.9
,,,,,
     342  22716,Servicio de Mantenimiento Eléctrico de Edificios,213200,0,213200,217156.02
,,,,,
     339  22609,Actividades Culturales y Deportivas,58100,0,58100,43865.86
,,,,,
     339  23020,Dietas del personal no directivo,1000,0,1000,0
,,,,,
     339  23120,Locomoción del personal no directivo,600,0,600,0
,,,,,
     339  16200,Formación y Perfeccionamiento del Personal,600,0,600,0
,,,,,
     339  13100,Retribuciones personal temporal,81000,0,81000,77976.48
,,,,,
     339  13000,Retribuciones personal laboral fijo,127000,0,127000,100497.32
,,,,,
     339  14301,Retribuciones personal afecto a programas,38000,0,38000,35960.82
,,,,,
     339  16000,Seguridad Social,86000,0,86000,82339.77
,,,,,
     412  62201,Mercadillo del Agricultor y Aparcamientos,0,3048,3048,3047.45
,,,,,
     338  22610,Festejos y Actos Populares,175000,0,175000,219394.48
,,,,,
     338  22611,Fiestas del Municipio,112000,0,112000,99594.52
,,,,,
     338  48100,Subvenciones a Comisiones de Fiestas,48000,0,48000,45500
,,,,,
     338  22123,Suministro mobiliario actos municipales,0,0,0,19997.38
,,,,,
     338  68902,Vestimenta Trajes Tradicionales,5000,0,5000,4950
,,,,,
     432  46901,Convenio Promoción Turística SPET,150000,0,150000,150000
,,,,,
     432  76110,Estrategia de Mejora del Espacio Público Turístico,427685,0,427685,427685
,,,,,
     432  62255,Oficinas de Turismo Plan Q,0,4028.75,4028.75,0
,,,,,
     432  75100,Plan de Infraestructuras y Calidad Turística,0,653873.1,653873.1,0
,,,,,
     432  76124,SPET Plan de Oficinas Turísticas,0,12000,12000,0
,,,,,
     912  48201,Aportaciones a Partidos Políticos,35000,0,35000,34800
,,,,,
     912  23300,Otras Indemnizaciones,30000,15000,45000,58323.2
,,,,,
     912  22601,Atenciones protocolarias y representativas,20000,0,20000,6340.61
,,,,,
     912  22103,Combustibles y carburantes,2000,0,2000,3272.83
,,,,,
     912  23000,Dietas de Miembros de Órganos de Gobierno,5000,0,5000,11911.45
,,,,,
     912  23100,Locomoción de Miembros de Órganos de Gobierno,12000,0,12000,9346.24
,,,,,
     912  21400,"Reparación, man. y conserv. elementos de transport",1000,0,1000,2055
,,,,,
     912  16200,Formación y Perfeccionamiento del Personal,1000,0,1000,380
,,,,,
     912  22000,Ordinario no inventariable,1000,0,1000,7893.67
,,,,,
     912  22001,"Prensa, revistas, libros y otros",1000,0,1000,1664
,,,,,
     912  22401,Primas de seguros,2000,0,2000,1565.84
,,,,,
     912  22105,Productos alimenticios,4000,0,4000,1219.22
,,,,,
     912  10000,Retribuciones básicas ,630000,0,630000,614421.65
,,,,,
     912  16000,Seguridad Social,164000,0,164000,148398.89
,,,,,
     912  22204,Telefónicas,20000,0,20000,10450.07
,,,,,
     419  62227,Casa del Vino,0,192907.3,192907.3,0
,,,,,
     221  16204,Acción Social,100000,0,100000,101517.62
,,,,,
     221  16006,Asistencia Farma-Protésica según Convenio,100000,0,100000,83621.5
,,,,,
     221  16008,Asistencia Médico-Farmacéutica,300000,0,300000,239071.85
,,,,,
     221  16206,Bolsa Convenio Personal Municipal,260000,0,260000,179069.81
,,,,,
     221  16205,Seguros,77000,0,77000,77216.04
,,,,,
     171  22719,Ajardinamiento Parque de Cho-Parque de la Reina,48000,0,48000,0
,,,,,
     171  20000,Arrendamientos de Terrenos y Bienes Naturales,22000,0,22000,18042.25
,,,,,
     171  22741,Servicio Mantenimiento Jardines Municipales,4322000,0,4322000,4360597.54
,,,,,
     924  12100,Complemento de destino,1700,0,1700,0
,,,,,
     924  12101,Complemento específico,3000,0,3000,0
,,,,,
     924  12102,Complemento de Residencia,1000,0,1000,0
,,,,,
     924  23020,Dietas del personal no directivo,600,0,600,0
,,,,,
     924  22000,Ordinario no inventariable,1000,0,1000,273.55
,,,,,
     924  13100,Retribuciones personal temporal,39000,0,39000,38115.06
,,,,,
     924  22606,"Reuniones, conferencia y cursos",23000,0,23000,8085.6
,,,,,
     924  16000,Seguridad Social,12500,0,12500,13714.29
,,,,,
     924  12003,Sueldos del Grupo C1,2600,0,2600,0
,,,,,
     931  83101,Anticipo de pagas a personal,10,241500,241510,241500
,,,,,
     931  83001,Anticipos por cuenta terceros,10,9100.82,9110.82,9100.82
,,,,,
     931  20200,Arrendamientos de Edificios y otras Construcciones,10000,0,10000,9646.28
,,,,,
     931  23300,Otras indemnizaciones,0,0,0,500
,,,,,
     931  62207,Cámaras de seguridad Edificios Públicos,0,3000,3000,0
,,,,,
     931  12100,Complemento de destino,157000,0,157000,110108.12
,,,,,
     931  12101,Complemento especifico,295000,-15000,280000,208482.4
,,,,,
     931  12102,Complemento de Residencia,30000,0,30000,23811.99
,,,,,
     931  23020,Dietas del personal no directivo,1000,0,1000,1190.75
,,,,,
     931  23120,Locomoción del personal no directivo,6000,0,6000,1495.74
,,,,,
     931  35700,Ejecucion de avales,1000,0,1000,0
,,,,,
     931  16200,Formación y Perfeccionamiento del Personal,1000,0,1000,5379.15
,,,,,
     931  31100,Gastos de formalización y cancelación,1000,0,1000,0
,,,,,
     931  15100,Gratificaciones,1000,0,1000,0
,,,,,
