#NOMPARTIDA,CODFUNCION,CODECOPART,Fecha,NIFTERCERO,NOMTERCERO,Descripción,IMPTOTFACTS
Festejos y Actos Populares,338,22610,2013-01-05,G76574086,ASOCIACION SOCIOCULTURAL Y EDUCATIVA COTEAN,Actuación de 4 Zancudos y 1 Pe rsonal de Apoyo. Cabalgata de  Reyes.,560
Fiestas del Municipio,338,22611,2013-01-05,B38757159,HERNANDEZ CABRERA E HIJAS S.L.,Suministro Material de Tela y  Confección para Romeria San An tonio Abad 2013,214.11
Festejos y Actos Populares,338,22610,2013-01-06,A38022182,RADIO CLUB DE CANARIAS S.A.,"Anuncio en Radio""Cabalgata de  Reyes 2013"",40 Principales, Di a Tf sur y Radio Club TFE",511.35
Festejos y Actos Populares,338,22610,2013-01-07,B62604806,AMTEVO MEDIO AMBIENTE S.L.,Suministro Caramelo Sin Gluten  y Sabores Sabores Surtidos.,1341.07
Festejos y Actos Populares,338,22610,2013-01-07,G38973145,ASOCIACION SOCIOCULTURAL PLATONS S.L.,Colaboración en Cabalgata 2013,1540
Material informático no inventariable,920,22002,2013-01-07,A28122125,CANON ESPAÑA S.A.,Mantenimiento Modelo: IR2016ES  Perido: 01/01/2013 hasta 31/1 2/2013.,232.74
Energía eléctrica,312,22100,2013-01-08,A81948077,ENDESA ENERGIA S.A.U.,Facturación Diciembre 2012-Cód igo Agrupación 701414,1968.65
Festejos y Actos Populares,338,22610,2013-01-08,B38529053,PIROTECNICA EL CARMEN S.L.,"1 Conjunto de Fuegos Artificia les Clase III, Cabalgata de Re yes los Cristianos 05/01/2013",463.5
Festejos y Actos Populares,338,22610,2013-01-08,B38853990,SOUND CANARIAS S.L.U.,Montaje Video Retransmisión Ca mpanadas Fin de Año en C.c. Lo s Cristianos.,642
Energía eléctrica,150,22100,2013-01-09,A81948077,ENDESA ENERGIA S.A.U.,Facturación Diciembre 2012-Cód igo Agrupación 701642,11280.13
Energía eléctrica,320,22100,2013-01-09,B82846825,ENDESA ENERGIA XXI S.L.,Facturación Diciembre 2012 Cód igo Agrupación 323960,18.45
Energía eléctrica,340,22100,2013-01-09,A81948077,ENDESA ENERGIA S.A.U.,Facturación Diciembre 2012-Cód igo Agrupación 701657,13253.62
Energía eléctrica,340,22100,2013-01-09,B82846825,ENDESA ENERGIA XXI S.L.,Facturación Diciembre 2012-Cód igo Agrupación 324945,1470.28
Energía eléctrica,920,22100,2013-01-09,B82846825,ENDESA ENERGIA XXI S.L.,Facturación Diciembre 2012-Cód igo Agrupación 324945,1470.28
Fiestas del Municipio,338,22611,2013-01-09,B38709614,"GARDEN IKA, S.L.",Suministro Helecho  Macho. Fie sta San Antonio Abad 2013.,146.37
Ordinario no inventariable,130,22000,2013-01-09,B38081790,THE RED PEN S.L.,50 Talonarios de 25-Acta de De nuncia Convivencia C-400,422.65
"Rehab. Barrio Nuevo, C/Noruega y Explanada Los Cri",151,61104,2013-01-09,B38545836,"ASFALTOS GOMERA, S.L.","Certificación nº 6 Obra ""Mejor a y Acondicionamiento de las C alles Noruega y Barrio Nuevo,  Los Cristianos"".",14023.67
Fiestas del Municipio,338,22611,2013-01-10,G38035192,C.I.T. SUR,"Servicio de Azafatas para ""Fie stas de San Antonio Abad"" Play a las americas-Arona, 13/01/20 13",130
"Prensa, revistas, libros y otras publicaciones",920,22001,2013-01-10,A58417346,WOLTERS KLUWER ESPAÑA S.A.,"2 (A5000) Revista Consultor Ay untamiento y Juzgados Periodo:  Anualidad 2013, Intervencion  y Secretaria",1182
"Prensa, revistas, libros y otros",931,22001,2013-01-10,A58417346,WOLTERS KLUWER ESPAÑA S.A.,"2 (A5000) Revista Consultor Ay untamiento y Juzgados Periodo:  Anualidad 2013, Intervencion  y Secretaria",1182
Promoción Sanidad y Consumo,313,22617,2013-01-10,G38400719,CLUB NATACION LOS CRISTIANOS ARONA,Participación en la Carrera po r la Vida (Batucada Tócala Tú) Departamento de Medio Ambiente,300
Tributos de las Entidades Locales,161,22502,2013-01-10,Q8850002J,CONSEJO INSULAR DE AGUAS DE TENERIFE,"Servicio Diciembre 12, Depurac ión y Vertido",131698.44
Tributos de las Entidades Locales,161,22502,2013-01-10,Q8850002J,CONSEJO INSULAR DE AGUAS DE TENERIFE,"Servicio Diciembre 12, Desalac ión",276897.46
Fiestas del Municipio,338,22611,2013-01-11,A38010856,AGUAS DE VILAFLOR S.A.,Suministro Cajas Agua 33cl. Ca balgata de Reyes Magos 2013.,288
Fiestas del Municipio,338,22611,2013-01-11,B38418653,SANITARIOS PORTATILES S.L.,"1 Alquiler Sanitarios Pace y 1 Sanitario Accesible , Fiesta S an Antonio Abad Arona 2013",250.38
Fiestas del Municipio,338,22611,2013-01-11,B38626537,SILLAS PERDIGON S.L.,Alquiler Sillas Fiestas San An tonio Abad.,176.55
Festejos y Actos Populares,338,22610,2013-01-12,B38390589,SOUND BLACK S.L.,Equipor de Sonido e Iluminació n para Cabalgata de Reyes Mago s 2013,1599.65
Plan de Promoción Económica,433,22614,2013-01-12,B38390589,SOUND BLACK S.L.,"Ilusión y Fantasía- Dinamizaci  en los Cristianos, Promoción  Económica",979.05
Fiestas del Municipio,338,22611,2013-01-13,B38425468,ORQUESTA WAMAMPY,Actuación Romería San Antonio  Abad el 13/01/2013.,1765.5
Fiestas del Municipio,338,22611,2013-01-13,B38987368,"A.D.E.S. SIGLO 21, S.L.",Servicio Ambulancia s.v.b. 4 h r.Romería San Antonio Abad Aro na 2013,200
Fiestas del Municipio,338,22611,2013-01-13,G38957734,ASOCIACION DE BAILARINES HERREÑOS EN TENERIFE,Actuación en Romería Fiestas e n Honor a San Antonio Abad 201 3,300
Energía eléctrica,150,22100,2013-01-14,A81948077,ENDESA ENERGIA S.A.U.,"Facturación Diciembre 12, Códi go Agrupación 700902",45133.35
Energía eléctrica,150,22100,2013-01-14,B82846825,ENDESA ENERGIA XXI S.L.,"Facturación Diciembre 12, Códi go Agrupación 323274",1897.88
Energía eléctrica,150,22100,2013-01-14,B82846825,ENDESA ENERGIA XXI S.L.,"Facturación Diciembre 12, Códi go Agrupación 324421",533.29
Energía eléctrica,312,22100,2013-01-14,A81948077,ENDESA ENERGIA S.A.U.,"Facturación Diciembre 12, Códi go Agrupación 700902",45133.35
Energía eléctrica,312,22100,2013-01-14,B82846825,ENDESA ENERGIA XXI S.L.,"Facturación Diciembre 12, Códi go Agrupación 323348",2601
Energía eléctrica,312,22100,2013-01-14,B82846825,ENDESA ENERGIA XXI S.L.,"Facturación Diciembre 12, Códi go Agrupación 324434",452.69
Energía eléctrica,320,22100,2013-01-14,A81948077,ENDESA ENERGIA S.A.U.,"Facturación Diciembre 12, Códi go Agrupación 700581",5485.77
Energía eléctrica,320,22100,2013-01-14,B82846825,ENDESA ENERGIA XXI S.L.,"Facturación Diciembre 12, Códi go Agrupación 323348",2601
Energía eléctrica,340,22100,2013-01-14,A81948077,ENDESA ENERGIA S.A.U.,"Facturación Diciembre 12, Códi go Agrupación 700902",45133.35
Energía eléctrica,920,22100,2013-01-14,A81948077,ENDESA ENERGIA S.A.U.,"Facturación Diciembre 12, Códi go Agrupación 698662",2688.07
Energía eléctrica,920,22100,2013-01-14,A81948077,ENDESA ENERGIA S.A.U.,"Facturación Diciembre 12, Códi go Agrupación 700902",45133.35
Energía eléctrica,920,22100,2013-01-14,B82846825,ENDESA ENERGIA XXI S.L.,"Facturación Diciembre 12, Códi go Agrupación 323274",1897.88
Energía eléctrica,920,22100,2013-01-14,B82846825,ENDESA ENERGIA XXI S.L.,"Facturación Diciembre 12, Códi go Agrupación 323301",38122.29
Fiestas del Municipio,338,22611,2013-01-14,B38799763,RICHARD FIESTA PRODUCCIONES ARTISTICAS S.L.,Actuación Orquesta Pasión Gome ra. Fiestas San Antonio Abad 2 013.,1284
Fiestas del Municipio,338,22611,2013-01-14,B38853990,SOUND CANARIAS S.L.U.,Sonido e Iluminación y Video p ara Fiestas de San Antonio Aba d 2013,4066
Fiestas del Municipio,338,22611,2013-01-14,G38646907,AGRUPACION FOLKLORICA CHAVEÑA,"Traslado 6 Carretas y Yuntas R omería San Antonio Abad, el 13 /01/2013.",550
Fiestas del Municipio,338,22611,2013-01-14,G38978474,ASOCIACION CULTURAL GRUPO TAIMER,Animación el día 13/01/2013 en  la Romería de Arona. Cuarteto  Taimer.,360
Repar. conserv. y man. elementos de transporte,132,21400,2013-01-14,B38233912,SERVICIOS E LEON S.L.,"Revisión 4891-CFT,Luces y dest ellantes ,Adaptación de interr uptor para luce, Honda Policí  a Local",227.38
Anticipos por cuenta terceros,931,83001,2013-01-15,A38011623,CANARIA DE AVISOS S.A.,"Anuncio Apertura Licitación ""S uministro de Licencias Soft-Wa re Microsoft"".",359.52
Aportación Comité Español Iluminación,165,42393,2013-01-15,G78487832,COMITE ESPAÑOL DE ILUMINACION,Cuota Entidad Colaboradora Año  2013,440
Cánones,173,20900,2013-01-15,Q3867002B,AUTORIDAD PORTUARIA DE SC DE TENERIFE,Tasa Ocupación Superficie en P uerto de Los Cristianos Centro  Municipal de Buceo.,72.51
Festejos y Actos Populares,338,22610,2013-01-15,B38794327,AUTO GRUAS CABELLO S.L.U.,Servicio Traslado Montacargas  matrícula E9914BFP de Los Cris tianos a Valle San Lorenzo. Ev ento: Reyes.,74.28
Fiestas del Municipio,338,22611,2013-01-15,B38092151,TROPICAL BUS S.L.,"Transporte desde Zentral Cente r y Auditoria a Arona, el 13/0 1/2013",710.7
Fiestas del Municipio,338,22611,2013-01-15,B38339362,FERRETERIA DORTA S.L.,Material Ferretería Romería Sa n Antonio Abad.,17.25
Postales,920,22201,2013-01-15,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,Servicio Correspondencia Multa s.,3.02
Postales,920,22201,2013-01-15,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,Servicio Correspondencia Multa s.,15.77
Postales,920,22201,2013-01-15,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,Servicio Correspondencia Renta s.,33.4
Publicidad y Propaganda,920,22602,2013-01-15,A38011623,CANARIA DE AVISOS S.A.,Anuncio Relación de Vehículos  con Síntomas de Abandono. Diar io de Avisos.,539.28
Publicidad y Propaganda,920,22602,2013-01-15,A38011623,CANARIA DE AVISOS S.A.,Anuncio Relación Vehiculos en  Depósito Municipal de Playa La s Américas-,539.28
Publicidad y Propaganda,920,22602,2013-01-15,A38011623,CANARIA DE AVISOS S.A.,Bando Alcaldía Prohibido Estac .y Circular Señalizando con An telación en Varias Zonas del M unicipio por diversas Activida,359.52
"Reparaciones, man. y conserv. Edificios y otras co",920,21200,2013-01-15,B38044905,SUMINISTROS Y MAQUINARIA S.L. BONNET,Varilla Redonda Inox 304 10(Me tro ) Cementerio,83.06
"Reparación, man. y conserv. elementos de transport",150,21400,2013-01-16,B38788287,"TALLER JUAN GOMEZ, S.L.",Reparación Pérdida de Agua Veh ículo TF7654AL.,32.1
Festejos y Actos Populares,338,22610,2013-01-17,E38313755,C.B. LA FIESTA,"Confetti. Concejalía de Fiesta s, Fiesta Fin Año 2012",309.5
Fiestas del Municipio,338,22611,2013-01-17,B38757159,HERNANDEZ CABRERA E HIJAS S.L.,Material para Decorado Cabalga ta de Reyes,168.01
Fiestas del Municipio,338,22611,2013-01-17,B38757159,HERNANDEZ CABRERA E HIJAS S.L.,Suministro Material de Tela y  Confección para Romería San An tonio Abad,211.48
Fiestas del Municipio,338,22611,2013-01-17,B38987368,"A.D.E.S. SIGLO 21, S.L.",Servicio Ambulancia s.v.b. 2 h r.Preventivo Fuegos y Procesió n San Antonio Abad 2013,100
Ordinario no inventariable,920,22000,2013-01-17,A81460669,Q-MATIC SISTEMAS S.A.,Suministro 2 Cajas Rollo de Ti cket Qmatic.,578
Ordinario no inventariable,920,22000,2013-01-17,B38081790,THE RED PEN S.L.,"1000 Carpetas Expedientes- Col or Azul, Aquamarina",224.7
Plan de Promoción Económica,433,22614,2013-01-18,B38806782,ABORA SOUND KANARYAS S.L.,"Montaje Decoración Escenario E scenario Día 05/01/2013., Prom oción Economica , Cabalgata d  e Reyes, incluida en Camp.Nav",588.5
Productos alimenticios,920,22105,2013-01-18,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1Cuota Servicio Mensual en Cen tro Civico Cabo Blanco, CL .Vi sta Martin 8, Cabo Blanco",9.63
Repar. conserv. y man. elementos de transporte,132,21400,2013-01-18,B38233912,SERVICIOS E LEON S.L.,"Revision 8629-CDV, Circuitos A irbags sillon conductor, luces  generales, policía local",186.31
Energía eléctrica,340,22100,2013-01-21,A81948077,ENDESA ENERGIA S.A.U.,Suministro Electricidad Diciem bre 2012 Av. Arquitecto Gómez  Cuesta. código Agrupación 0710 602.,5347.67
Festejos y Actos Populares,338,22610,2013-01-21,B38987368,"A.D.E.S. SIGLO 21, S.L.",Servicio Ambulancia s.v.b. 4 h r.Cabalgata de Reyes los Crist ianos día 05/01/2013,200
Festejos y Actos Populares,338,22610,2013-01-21,B38987368,"A.D.E.S. SIGLO 21, S.L.","Servicio Ambulancia s.v.b. 8 h r.Fin Año los Cristianos 31/12 /2012, Arona",400
Informáticas,920,22203,2013-01-21,B64074230,UBILIBET S.L.,Servicios Renovación Dominios  Geográficos Varios. ESPAÑAaunt amientodearona.com.es; UNION E UROPEA; COM; NET; etc.,1430
Material informático no inventariable,920,22002,2013-01-21,B76509751,JADACOM NETWORKS GROUP S.L.U.,Adquisición de 5 Cascos M175 D uoset.,259.37
Repar. mant. y cons. Equipos para procesos informa,920,21600,2013-01-21,B78089893,"GARI, S.L.",Diferencia IGIC 7% en fra. nº  2013002 pagada el 15/02/2013  RP 3783.,15.07
Productos alimenticios,920,22105,2013-01-22,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",1 Botellon Agua y 1 Caja de Va sos-Concejalía Juventud,20.75
Productos alimenticios,920,22105,2013-01-22,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",1 Botellon Agua-Servicio Obra  e Infraestructura,7.5
Productos alimenticios,920,22105,2013-01-22,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",1 Botellones Agua - Participac ión Ciudadana,7.5
Productos alimenticios,920,22105,2013-01-22,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",1 Botellones Agua - Tesoreria,7.5
Productos alimenticios,920,22105,2013-01-22,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","15 Botellones Agua y 2 Cajas d e  Vasos y 1 Cuota Servicio Me nsual, Sac Nº9 Cristianos",131.82
Productos alimenticios,920,22105,2013-01-22,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","17 Cuota Servicio Mensuales,19  Botellones Agua y 2 Caja de V asos- Urbanismo",304.2
Productos alimenticios,920,22105,2013-01-22,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",2 Botellones Agua y 1 Caja Vas os-Medio Ambiente,28.25
Productos alimenticios,920,22105,2013-01-22,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",20 Botellones Agua y 3 Cajas d e Vasos-Policia Local Plana,159.74
Productos alimenticios,920,22105,2013-01-22,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",3Botellones Agua y 1 Caja de V asos-Recaudación Municipal,34.64
Productos alimenticios,920,22105,2013-01-22,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",5Botellones Agua y 1 Caja de V asos-Informatica,47
Plan de Promoción Económica,433,22614,2013-01-23,B76587641,SERVICIOS E INVERSIONES TF S.L.,Controladores y Vigilantes en  Feria de Artesanía la Casa del  Mar los Cristianos,385.2
Postales,920,22201,2013-01-23,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 23/01 /2013, Multas 432",11.4
Postales,920,22201,2013-01-23,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 23/01 /2013, Multas 433",62.95
Productos alimenticios,920,22105,2013-01-23,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","4 Botellones Agua y Cuota Mens ual-Sac Las Galletas, Rambla D ionisio Gonzalez",38.15
Repar. conserv. y man. elementos de transporte,132,21400,2013-01-23,B38963542,LLAVE SUR Y LEGARA S.L.,Copias de Llaves Motos 9157FZW  y 9686DVL y confección Llaves  a cilindro Motos 9720DVL y 62 12DWD.,119.84
Repar. mant. y conserv. elementos de transporte,920,21400,2013-01-23,B38788287,"TALLER JUAN GOMEZ, S.L.","Reparación Vehículo E-0545-CZD , Notificadores, Caja de Cambi os",591.34
Fiestas del Municipio,338,22611,2013-01-24,B38529053,PIROTECNICA EL CARMEN S.L.,Conjunto de Fuegos Artificiale s Fiestas San Antonio Abad 201 3.,2060
Postales,920,22201,2013-01-25,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 25/01 /2013, Catastro Notf 901",20.05
Equipos para Procesos de Información,494,62600,2013-01-28,A35307693,QWERTY SISTEMAS S.A.L.,Suministro de Telefonía IP Zon a Urban. (Terminal IP Cisco SP A504G 4 líneas),3194.59
Festejos y Actos Populares,338,22610,2013-01-28,B76587641,SERVICIOS E INVERSIONES TF S.L.,Servicio Controladores Cabalga te Reyes Magos 2012.,300.13
Fiestas del Municipio,338,22611,2013-01-28,B38492237,HIT RADIO CANARIAS S.L.,"60 Cuñas de Radio ""Fiestas en  Honor a San Antonio Abad 2013""",321
Material informático no inventariable,920,22002,2013-01-28,A48170419,PROFINSA S.A.,"2 Tarjetas PVC Blancas 85,60*5 3.98 mm 760 MI CRAS, Expte. 1/ 2010-CNT-CARSU",43.1
Ordinario no inventariable,920,22000,2013-01-28,B38081790,THE RED PEN S.L.,3000 Expedientes Color Butano,674.1
Vestuario,130,22104,2013-01-28,B38207379,DEPORTES DEL SUR S.L.,10 Unidades Gafas de Protecció n para Prácticas de Tiro Polic ial.,120
Material informático no inventariable,920,22002,2013-01-29,B81996605,INSIGHT TECHNOLOGY S.L.,Renovación de Licencias. Infor mática.,2764.63
"Desinfectantes, raticidas",313,22115,2013-01-30,B28984094,SOLUCIONES TECNICAS NCH ESPAÑOLA S.L.,1 Caja de HDHC (4*4.5LT)+Dispe nsador-  Policía Local,149.27
Fiestas del Municipio,338,22611,2013-01-30,B76587641,SERVICIOS E INVERSIONES TF S.L.,Servicio Controladores Fiestas  San Antonio Abad 2013.,624.88
Material informático no inventariable,920,22002,2013-01-30,B81996605,INSIGHT TECHNOLOGY S.L.,Renovación de Licencias. Infor mática.,1735.42
Postales,920,22201,2013-01-30,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 30/01 /2013, Plusvalia 434",36.17
Postales,920,22201,2013-01-30,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 30/01 /2013, Rentas ENI0113R",50.19
Actividades Culturales y Deportivas,339,22609,2013-01-31,B38443073,YAIZA BUS S.L.,4 Servicios Traslado de los Ve cinos de Arona para Proyecto C onoce Tu Municipio,340
Anticipos por cuenta terceros,931,83001,2013-01-31,A38017844,EDITORIAL LEONCIO RODRIGUEZ S.A.,Anuncio El Día. Negociado de A ctividades.,385.2
Combustibles y carburantes,150,22103,2013-01-31,A38087367,CLAUDIO ALFONSO E HIJOS S.A.,Carburante Enero 2013 Vehículo s Policía Local.,615.02
Combustibles y carburantes,150,22103,2013-01-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Carburante Enero 2013 Vehículo s Mantenimiento.,630.58
Combustibles y carburantes,150,22103,2013-01-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Gasoil para Motor Cabalgata de  Reyes,24.21
Combustibles y carburantes,150,22103,2013-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante E0025DJC Enero 2013,42.04
Combustibles y carburantes,150,22103,2013-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante E3140CFK Enero 2013 .,45
Combustibles y carburantes,150,22103,2013-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante E5224CSF Enero 2013 .,116.04
Combustibles y carburantes,150,22103,2013-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante E9297FTP Enero 2013 .,94
Combustibles y carburantes,150,22103,2013-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante TF6942CB Enero 2013 .,95
Combustibles y carburantes,912,22103,2013-01-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Carburante y lavado Automático  Vehículo 5325DCC.,43
Combustibles y carburantes,912,22103,2013-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante 5325-DCC Enero 2013 .,60.01
Combustibles y carburantes,920,22103,2013-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante 8685FGF Enero 2013 .,36
Combustibles y carburantes,920,22103,2013-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante E0545CZD Enerp 2013,78.6
Combustibles y carburantes,920,22103,2013-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante E1852CC Enero 2013,75
Combustibles y carburantes,920,22103,2013-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante E2073CFJ Enero 2013 .,81
Combustibles y carburantes,920,22103,2013-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante E3463DHH Enero 2013,94
Combustibles y carburantes,920,22103,2013-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante E8049CRY Enero 2013 .,45
Combustibles y carburantes.,130,22103,2013-01-31,A38047684,ESTACION SURAMERICAS S.A.,Carburante Enero 2013 Vehículo s Policía Local.,2323.82
Combustibles y carburantes.,130,22103,2013-01-31,A38087367,CLAUDIO ALFONSO E HIJOS S.A.,Carburante Enero 2013 Vehículo s Policía Local.,615.02
Combustibles y carburantes.,130,22103,2013-01-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,"Carburante Enero, TF0072BT P olicía Local.",55
Combustibles y carburantes.,130,22103,2013-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante E0705CVG Enero 2013 .,63.02
Combustibles y carburantes.,130,22103,2013-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante E2744CSJ Enero 2013,217.77
Combustibles y carburantes.,130,22103,2013-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante E3640GYF Enero 2013 .,109
Combustibles y carburantes.,130,22103,2013-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante E3642GYF Enero 2013 .,34
Combustibles y carburantes.,130,22103,2013-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante E3642GYF Enero 2013 .,83
Combustibles y carburantes.,130,22103,2013-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante E3643GYF Enero 2013 .,39
Combustibles y carburantes.,130,22103,2013-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante E3643GYF Enero 2013 .,50
Combustibles y carburantes.,130,22103,2013-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante E3646GYF Enero 2013 .,30
Combustibles y carburantes.,130,22103,2013-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante E3655GYF Enero 2013 .,29
Combustibles y carburantes.,130,22103,2013-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante E3659GYF Enero 2013 .,44.5
Combustibles y carburantes.,130,22103,2013-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante E8838BVY Enero 2013 .,200.6
Combustibles y carburantes.,130,22103,2013-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante E9326GYD Enero 2013 .,39
Combustibles y carburantes.,130,22103,2013-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante E9327GYD Enero 2013 .,53
Combustibles y carburantes.,130,22103,2013-01-31,B38983318,"PICAMOLINOS, S.L.","Carburante E9327GYD,Enero 2013 .",43.01
Combustibles y carburantes.,130,22103,2013-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante TF0072BT Enero 2013 .,63
Combustibles y carburantes.,130,22103,2013-01-31,B76585801,"VILLASARA MULTISERVICIOS, S.L.",Carburante Enero 2013 Vehículo s Policía Local.,1335.18
"Desinfectantes, raticidas",313,22115,2013-01-31,B28984094,SOLUCIONES TECNICAS NCH ESPAÑOLA S.L.,2 Docenas  Desert Breeze (400  ml) Policía Local,385.63
