#Aplicación Presupuestaria ,Denominación,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
132 16200,Formación y Perfeccionamiento del Personal,1000,0,1000,2250.56
4911 16200,Formación y perfeccionamiento del personal,1000,0,1000,0
221 16204,Acción Social,100000,0,100000,950.19
221 16205,Seguros,90000,0,90000,0
221 16206,Bolsa Convenio Personal Municipal,260000,0,260000,241740.33
133 20000,Arrendamientos de Terrenos y Bienes Naturales,21500,0,21500,0
171 20000,Arrendamientos de Terrenos y Bienes Naturales,23000,0,23000,8690.34
920 20200,Arrendamientos de Edificios y otras Construcciones,25000,0,25000,7589.1
150 20200,Arrendamientos de Edificios y otras construcciones,13500,0,13500,3381.74
3322 20200,Arrendamientos de Edificios y otras contrucciones,10000,0,10000,2449.13
3271 20200,Arrendamientos de edificios y otras construcciones,6000,0,6000,0
241 20200,Arrendamientos de Edificios y otras Construcciones,20000,0,20000,4647.82
931 20200,Arrendamientos de Edificios y otras Construcciones,10000,0,10000,2411.58
311 20200,Arrendamientos de Edificios y otras contrucciones,21000,0,21000,5176.6
132 20200,Arrendamientos de Edificios y Otras Construcciones,23000,0,23000,5525.79
920 20400,Arrendamientos de Material de Transporte,205000,0,205000,0
132 20400,Arrendamientos de Material de Transporte,208000,0,208000,57463.9
929 20800,Arrendamientos de Otro Inmovilizado Material,5000,0,5000,0
1722 20900,Cánones,175000,0,175000,0
1721 20900,Cánones,0,0,0,374.66
920 21000,"Reparaciones, man. y conserv. infraestructuras y b",1000,0,1000,0
1722 21000,"Reparaciones, man. y conserv. infraestructuras y b",1000,0,1000,0
133 21000,"Reparaciones, man. y conserv. infraestructuras y b",50000,0,50000,4948.06
171 21000,"Reparaciones, man. y conserv. infraestructuras y b",30000,0,30000,0
1532 21000,"Reparaciones, man. y conserv. infraestructuras y b",1000,0,1000,0
1721 21000,"Reparaciones, man. y conserv. infraestructuras y b",0,19000,19000,0
4911 21004,Acondicionamiento Zonas Verdes en el ámbito URBAN,30500,0,30500,0
1532 21005,Plan de Asfaltados 2016,888000,1000000,1888000,0
171 21006,Colocación Riego Paseo Francisco Andrae,46300,0,46300,0
1722 21007,Embellecimiento Islas de Contenerización Playas,57600,0,57600,0
920 21200,"Reparaciones, man. y conserv. Edificios y otras co",35000,0,35000,4930.09
164 21200,Edificios y otras Construcciones,0,0,0,3226.05
1522 21201,Reparación Impermeabilización Cubierta Ed. Admvo.,64200,0,64200,0
1722 21202,Aseos y Duchas Playas Municipales,50000,0,50000,0
920 21300,"Reparaciones, Mante. y conserv. Maquinaria e Inst.",0,0,0,0
929 21300,"Reparaciones, Mante. y conserv. Maquinaria e Inst.",10000,0,10000,171.9
323 21302,Mantenimiento de Ascensores,5000,0,5000,0
136 21303,Mantenimiento de Extintores,18000,0,18000,0
920 21304,Mantenimiento Aire Acondicionado,18000,0,18000,13265.83
132 21305,Mantenimiento Cámaras de Seguridad,18000,0,18000,0
164 21306,Mantenimiento Horno Pirolitico Cementerio Mpal.,1300,0,1300,0
920 21400,Repar. mant. y conserv. elementos de transporte,7000,0,7000,1437.39
150 21400,"Reparación, man. y conserv. elementos de transport",7000,0,7000,1296.9
170 21400,Elementos de Transporte,0,0,0,606.9
929 21400,Repar. mant. y cons. elementos de transporte,1000,0,1000,0
1722 21400,"Reparaciones, mante. y conservación elementos de t",2000,0,2000,0
912 21400,"Reparación, man. y conserv. elementos de transport",5000,0,5000,1205.02
132 21400,Repar. conserv. y man. elementos de transporte,30000,0,30000,12180.76
920 21500,Repar. mant. y cons. Mobiliario,2000,0,2000,203.5
150 21500,Repar. mant. y cons. Mobiliario,6000,0,6000,910
130 21500,Repar. mant. y cons. Mobiliario,1000,0,1000,380.28
164 21500,"Reparación, mant. y conservación mobiliario",0,0,0,6460
929 21500,Repar. mant. y cons. Mobiliario,2000,0,2000,0
931 21500,Repar. mant. y cons. Mobiliario,1000,0,1000,0
4911 21501,Equimpamiento Mobiliario Edificios URBAN,100000,-869,99131,0
920 21600,Repar. mant. y cons. Equipos para procesos informa,30000,0,30000,3139.81
4911 21901,Señalética Parque Garañaña URBAN,30000,0,30000,0
1722 21903,Suministro e Instalación Tarimas Playas Mpales.,115000,0,115000,0
920 22000,Ordinario no inventariable,20000,0,20000,11622.4
150 22000,Ordinario no inventariable,6000,0,6000,175.87
170 22000,Ordinario no inventariable,1000,0,1000,0
130 22000,Ordinario no inventariable,10000,0,10000,2369.82
241 22000,Ordinario no inventariable,1000,0,1000,0
929 22000,Ordinario no inventariable,2000,0,2000,0
912 22000,Ordinario no inventariable,1000,0,1000,620.94
924 22000,Ordinario no inventariable,1000,0,1000,0
931 22000,Ordinario no inventariable,1000,0,1000,385.68
920 22001,"Prensa, revistas, libros y otras publicaciones",10000,0,10000,4110.97
320 22001,"Prensa, revistas, libros y otras publicaciones",1000,0,1000,0
150 22001,"Prensa, revistas, libros y otros",1000,0,1000,0
170 22001,"Prensa, revistas, libros y otras publicaciones",1000,0,1000,0
130 22001,"Prensa, revistas, libros y otras publicaciones",1000,0,1000,0
912 22001,"Prensa, revistas, libros y otros",1000,0,1000,408.6
931 22001,"Prensa, revistas, libros y otros",3000,0,3000,984.31
920 22002,Material informático no inventariable,250000,0,250000,146249.24
130 22002,Material informático no inventariable,1000,0,1000,0
920 22100,Energía eléctrica,900000,0,900000,578022.76
330 22100,Energía eléctrica,10000,0,10000,0
340 22100,Energía eléctrica,231000,0,231000,151033.44
320 22100,Energía eléctrica,100000,0,100000,50908.1
150 22100,Energía eléctrica,250000,0,250000,127923.24
311 22100,Energía Eléctrica,53000,0,53000,0
920 22103,Combustibles y carburantes,10000,0,10000,1081.02
150 22103,Combustibles y carburantes,10000,0,10000,2448.53
170 22103,Combustibles y carburantes.,3000,0,3000,580.01
130 22103,Combustibles y carburantes.,60000,0,60000,14853.19
929 22103,Combustibles y carburantes,1000,0,1000,0
912 22103,Combustibles y carburantes,3000,0,3000,1480.23
931 22103,Combustibles y carburantes,0,0,0,159.99
920 22104,Vestuario,12000,0,12000,2192.71
130 22104,Vestuario,120000,0,120000,3769.98
164 22104,Vestuario,1000,0,1000,869.1
326 22104,Vestuario,0,0,0,1145.28
920 22105,Productos alimenticios,18000,0,18000,5685.96
912 22105,Productos alimenticios,4000,0,4000,424.85
920 22110,Productos de limpieza y aseo,1000,0,1000,0
164 22110,Productos de limpieza y aseo,1000,0,1000,1540.75
130 22111,"Suministros de repuestos de maquinaria, utillaje",10000,0,10000,813.35
920 22112,"Suministros de material electrónico, eléctrico y t",2000,0,2000,0
161 22114,Aguas depuradas para riego,200000,0,200000,0
311 22115,"Desinfectantes, raticidas",60000,0,60000,19260
1533 22118,Mobiliario Urbano No Inventariable,15000,0,15000,0
414 22121,Suministro Mercadillo Municipal del Agricultor,20000,0,20000,0
338 22123,Suministro mobiliario actos municipales,50000,0,50000,16959.5
920 22201,Postales,300000,0,300000,125984.81
920 22203,Informáticas,45000,0,45000,20675.7
920 22204,Telefónicas,52000,0,52000,18603.29
330 22204,Teléfonos,5000,0,5000,1782.57
130 22204,Teléfonos,10500,0,10500,2418.39
912 22204,Telefónicas,10000,0,10000,8176.17
3272 22302,Servicio de Transporte de Viajeros por Carretera ,41200,0,41200,0
920 22401,Primas de seguros vehículos municipales.,3000,0,3000,2240
150 22401,Primas de seguros,7000,0,7000,5261.31
170 22401,Primas de seguros vehículos municipales.,1500,0,1500,1120
130 22401,Primas de seguros vehiculos mples.,16000,0,16000,13158
912 22401,Primas de seguros,2500,0,2500,2670.01
931 22401,Primas de seguros vehículos municipales,0,0,0,333
929 22402,Primas de seguros resto,1000,0,1000,0
931 22500,Tributos Estatales,1000,0,1000,3554.42
931 22501,Tributos de las Comunidades Autónomas,1000,0,1000,0
161 22502,Tributos de las Entidades Locales,4300000,0,4300000,1570225.8
1622 22502,Tributos de las Entidades Locales,2300000,0,2300000,563516
931 22502,Tributos de las Entidades Locales,1000,0,1000,0
1621 22502,Tributos de las Entidades Locales,0,0,0,186202
912 22601,Atenciones protocolarias y representativas,20000,0,20000,11785.31
920 22602,Publicidad y Propaganda,65000,0,65000,17519.43
170 22602,Publicidad y propaganda,10000,0,10000,0
920 22603,Publicación en Diarios Oficiales,9000,0,9000,329.12
920 22604,"Jurídicos, Contenciosos",200000,0,200000,70795.69
920 22605,Elecciones,0,0,0,97.97
170 22606,"Reuniones, conferencias y cursos.",8000,0,8000,0
241 22606,"Reuniones, Conferencias y Cursos",80000,0,80000,10084.75
929 22606,"Reuniones, conferencias y cursos",2000,0,2000,0
920 22607,Oposiciones y pruebas selectivas,5000,0,5000,1689.12
3271 22609,Actividades Socioculturales,73500,0,73500,21314.26
924 22609,Actividades Participación Ciudanana,50000,0,50000,0
336 22609,Actividades Socioculturales,60000,0,60000,1100
326 22609,Actividades Culturales y Deportivas,50500,0,50500,4320.66
338 22610,Festejos y Actos Populares,175000,0,175000,76614.18
338 22611,Fiestas del Municipio,213000,0,213000,263840.32
241 22612,Material Convenios Fomento Empleo,30000,11553.08,41553.08,12159.05
1533 22613,Señalizaciones Municipales,50000,0,50000,3231.3
155 22613,Señalizaciones Municipales,0,0,0,21126.27
433 22614,Plan de Promoción Económica,200000,0,200000,94857.21
164 22615,Inhumaciones,5000,0,5000,329.6
920 22616,Plan de Formación Interno Empleados Públicos,10000,0,10000,6048
311 22617,Promoción Sanidad y Consumo,5000,0,5000,410.61
931 22618,Intereses y Comisiones,10000,0,10000,56.83
929 22619,Sanciones,10000,0,10000,416.47
326 22644,Cursos de Extensión Universitaria,15000,0,15000,0
920 22700,Limpieza y Aseo,2270000,0,2270000,738525.04
920 22701,Seguridad,30000,0,30000,7324.9
929 22702,Valoraciones y Peritajes,1000,0,1000,0
311 22704,Recogida y acogida de animales.,67000,0,67000,21894.51
920 22706,Estudios y Trabajos Técnicos,220000,0,220000,33406.12
150 22706,Estudios y trabajos técnicos,0,0,0,0
160 22706,Estudios y trabajos técnicos,60000,0,60000,0
1723 22706,Estudios y trabajos técnicos,100000,0,100000,0
241 22706,Estudios y Trabajos Técnicos,88000,0,88000,0
442 22706,Estudios y Trabajos técnicos,50000,0,50000,0
336 22706,Estudios y trabajos técnicos,127000,0,127000,0
1721 22706,Estudios y trabajos técnicos,0,0,0,0
132 22706,Estudios y Trabajos Técnicos,0,108000,108000,0
4911 22706,Estudios y Trabajos técnicos,0,175373,175373,91731.1
151 22706,Estudios y trabajos técnicos,400000,0,400000,0
931 22708,Servicios de Recaudación,1400000,0,1400000,472343.16
1622 22709,Servicio Recogida RSU y Lim. Viaria,12660842,0,12660842,4120138.5
1722 22709,Servicio de recogida de basuras y limpieza viaria,25000,0,25000,0
1621 22710,Servicio Recogida de Papel Cartón,249000,0,249000,83550.1
161 22711,Servicio Abastecimiento de Agua y Alcantarillado,11600000,0,11600000,437951.77
165 22712,Servicio Mantenimiento Alumbrado Público,1232040,0,1232040,183868.43
920 22713,Servicio de mantenimiento de vías y edificios,222760,0,222760,92815.65
330 22713,Servicio de mantenimiento de vías y edificios,222760,0,222760,92815.65
320 22713,Servicio de mantenimiento de vías y edificios,222760,0,222760,94277.45
342 22713,Servicio de mantenimiento de vías y edificios,222760,0,222760,92815.65
1532 22713,Servicio de mantenimiento de vías y edificios,2212980,0,2212980,1844831.3
326 22714,Servicios Varios a Colegios,5000,0,5000,0
920 22716,Servicio de Mantenimiento Eléctrico de Edificios,38050,0,38050,16193.53
320 22716,Servicio de Mantenimiento Eléctrico de Edificios,183212,0,183212,49869.8
342 22716,Servicio de Mantenimiento Eléctrico de Edificios,216580,0,216580,78193.7
133 22717,Servicio Grua Municipal,470500,0,470500,235249.74
171 22719,Ajardinamiento Parque de Cho-Parque de la Reina,48000,0,48000,0
925 22720,Servicio de Atención Telefónica,620300,0,620300,168748.62
311 22722,Recogida Animales Exóticos,3000,0,3000,0
132 22728,Plan de Seguridad Integral Edificios Municipales,100000,0,100000,0
1722 22730,Mantenimiento Integral del Litoral,441510,0,441510,18603.72
1721 22730,Mantenimiento Integral del Litoral,0,0,0,144588
311 22731,Control de Aves.,15000,0,15000,0
4911 22732,Servicio Desarrollo Tecnnológico c. Empresarial,0,44849.89,44849.89,2400
4911 22733,Plan formativo empresarial C. empresarial Urban,10000,33600,43600,31140
1722 22736,Servicio de Vigilancia y Socorrismo en Playas,315335,0,315335,0
1721 22736,Servicio de Vigilancia y Socorrismo en Playas,0,0,0,99832.93
4911 22740,Estudios y Trabajos. Seguimiento Proyecto URBAN,3500,0,3500,3000
171 22741,Servicio Mantenimiento Jardines Municipales,4544248,0,4544248,1492465.04
342 22749,Sustitución Cesped Artificial Anexo Antonio Dguez.,128935,0,128935,0
342 22750,Sustitución Pavimento Pabellón Arona.,54000,0,54000,0
1722 22751,Servicio de Baño Adaptado en Arona,0,0,0,6065.11
338 22753,Servicios de Sonido e Iluminación para espectaculo,150000,0,150000,0
342 22755,Plan Director Actuaciones Complejo Jesús Dguez.,18000,0,18000,0
1533 22756,Obras de Mejora en Arona Casco,62000,0,62000,0
342 22757,Sustitución Césped Artificial VSL y Villa Isabel,320000,0,320000,0
337 22758,Proyecto de Estudio Uso Escuelitas Los Cristianos,60000,0,60000,0
132 22759,Trabajos de Demolición Edif. Los Cristianos,0,376000,376000,0
912 23000,Dietas de Miembros de Órganos de Gobierno,12000,0,12000,1690.62
920 23020,Dietas del personal no directivo,3000,0,3000,0
320 23020,Dietas del personal no directivo,600,0,600,0
150 23020,Dietas del personal no directivo,1000,0,1000,0
170 23020,Dietas del personal no directivo,1000,0,1000,0
231 23020,Dietas del personal no directivo,0,0,0,18.7
925 23020,Dietas del personal no directivo,1000,0,1000,0
922 23020,Dietas del personal no directivo,1000,0,1000,1092.44
241 23020,Dietas del personal no directivo,1000,0,1000,0
924 23020,Dietas del personal no directivo,600,0,600,0
931 23020,Dietas del personal no directivo,1000,0,1000,206.74
132 23020,Dietas del personal no directivo,1000,0,1000,0
4911 23020,Dietas del personal no directivo,500,0,500,0
912 23100,Locomoción de Miembros de Órganos de Gobierno,12000,0,12000,1044.74
920 23120,Locomoción del personal no directivo,8000,0,8000,129.39
320 23120,Locomoción del personal no directivo,600,0,600,164.43
150 23120,Locomoción del personal no directivo,2000,0,2000,192.85
170 23120,Locomoción del personal no directivo,2000,0,2000,0
231 23120,Locomoción del personal no directivo,0,0,0,80.75
925 23120,Locomoción del personal no directivo,1000,0,1000,100.98
922 23120,Locomoción del personal no directivo,600,0,600,324.39
3271 23120,Locomoción del personal no directivo,0,0,0,90.97
241 23120,Locomoción del personal no directivo,1000,0,1000,1470.6
924 23120,Locomoción del personal no directivo,0,0,0,164.35
931 23120,Locomoción del personal no directivo,6000,0,6000,611.56
132 23120,Locomoción del personal no directivo,10000,0,10000,7216.55
4911 23120,Locomoción de Personal,500,0,500,0
920 23300,Asistencia Órganos de Gobierno,5000,0,5000,500
912 23300,Asistencia Órganos de Gobierno,60000,0,60000,12500
931 23300,Otras indemnizaciones,0,0,0,300
912 23301,Otras indemnizaciones,50000,0,50000,3709.98
135 26001,Trabajos realizados por Protección Civil,160000,0,160000,82000
011 31000,Intereses,175000,0,175000,64804.7
931 31100,Gastos de formalización y cancelación,1000,0,1000,0
931 34000,Intereses de depósitos,1000,0,1000,0
931 34100,Intereses de fianzas,1000,0,1000,0
931 35200,Intereses de demora Capítulo 6,100000,0,100000,35396.32
931 35201,Intereses de demora Capítulo 2,100000,0,100000,18200.55
931 35700,Ejecución de Avales,1000,0,1000,0
931 35800,Intereses por operaciones de arrendamiento financi,1000,0,1000,0
931 35900,Otros Gastos Financieros,50000,0,50000,47872.92
330 41000,Al Patronato Municipal de Cultura,2550000,0,2550000,803245.46
340 41001,Al Patronato Municipal de Deportes,2803400,0,2803400,900000
430 41002,Al Patronato Municipal de Turismo,1395645,0,1395645,300000
231 41003,Al Patronato Municipal de Servicios Sociales,3965507,0,3965507,1200000
922 42392,Aportación a la FEMP,6000,0,6000,4497.81
165 42393,Aportación Comité Español Iluminación,601,0,601,440
231 44221,Subvención a la Empresa Municipal ADESA,1061694,0,1061694,600000
326 45301,Convenio ULL Máster Innovación Diseño Sect.Turísti,12000,0,12000,0
4411 46101,Convenio Transporte Colectivo,138000,0,138000,0
414 46600,Aportación Desarrollo Rural Chasna- Isora,3010,0,3010,3000
943 46701,Aportación Consorcio de Incendios,776904,0,776904,289016.59
432 46901,Convenio Promoción Turística SPET,150000,0,150000,0
430 46902,Convenio Regeneración espacio turístico,93718,0,93718,0
337 47903,Convenio Uso Instalaciones Casino de Arona,9000,0,9000,0
4310 47905,Subvenciones Asoc. Comerciales Fomento y Dinam.,60000,0,60000,0
433 47906,Subvenciones Fomento Innovación Empresarial,48000,0,48000,0
326 48001,Becas de Transporte,156960,0,156960,0
326 48002,Becas Enseñanza Universitaria,253000,0,253000,0
326 48003,Becas de Enseñanza Especial,55000,0,55000,0
326 48004,Subvenciones APAS,16200,0,16200,0
326 48005,Ayuda Actividades Permanencia (APAS),11550,0,11550,0
241 48014,Convenio Fundación Proyecto D. Bosco,12000,0,12000,0
170 48015,Subvención Fundación Neotróopico  Preservación Lag,3000,0,3000,0
231 48018,Ayuda Enseres Damnificados Edif. Los Cristianos,0,18000,18000,12000
338 48100,Subvenciones a Comisiones de Fiestas,67400,0,67400,20350
929 48102,Premios,3000,0,3000,0
912 48201,Aportaciones a Partidos Políticos,54000,0,54000,22200
336 48301,Convenio Archivo Diocesano,8000,0,8000,7000
929 50000,Fondo de Contingencia,1000000,0,1000000,0
151 60000,Adquisición de Terrenos,0,8569848.26,8569848.26,0
1522 60001,Adquisición de Suelo para Construcción V.P.O.,0,210000,210000,0
150 60101,Parque Urbano Cho-Parque La Reina ,0,58000,58000,0
151 60104,Gutinado del Solar Municipal C/Duque de la Torre,0,1103.97,1103.97,0
1532 60123,Plan de Accesibilidad,0,10000,10000,0
151 60135,Plan de Barrios,0,350948.56,350948.56,0
453 60137,Conexión Peatonal Guargacho-Las Rosas,0,967574.09,967574.09,0
151 60139,Alumbrado Público en Valle San Lorenzo,0,77540,77540,0
151 60201,Centro de Transformación Arona Casco,0,673615.09,673615.09,0
161 60208,Inversiones Red Saneamiento y Pluviales,0,80663.38,80663.38,0
452 60610,Inversiones en la Red de Agua,0,2892710.05,2892710.05,17671.73
151 60806,Parques Infantiles,0,200000,200000,0
241 60812,Mobiliario Urbano,0,54054.39,54054.39,0
